INSCRIPTION
'Strength and Honor'			15^50				Damage +10...15% (while Health is above 50%)
'Guided by Fate'				15^ench				Damage +10...15% (while Enchanted)
'Dance with Death'				15^stance			Damage +10...15% (while in a Stance)
'To the Pain!'					15^-10a				Damage +14...15% Armor -10 (while attacking)
'Brawn over Brains'				15^-5e				Damage +14...15% Energy -5
'Too Much Information'			15vhex				Damage +10...15% (vs. Hexed foes)
'Vengeance is Mine'				20^<50				Damage +10...20% (while Health is below 50%)
'Don't Fear the Reaper'			20^hex				Damage +10...20% (while Hexed)
'Don't Think Twice'				mahct^10			Halves casting time of spells (Chance: 5...10%)
'I have the power!'				5e					Energy +5
'Let the Memory Live Again'		mahsr^10			Halves skill recharge of spells (Chance: 5...10%)
'Aptitude not Attitude'			hct^20				Halves casting time of spells of item's attribute (Chance: 10...20%)
'Seize the Day'					15e^-1e/s			Energy +10...15 Energy regeneration -1
'Hale and Hearty'				5e^50				Energy +4...5 (while Health is above 50%)
'Have Faith'					5e^ench				Energy +4...5 (while Enchanted)
'Don't call it a comeback!'		7e^<50				Energy +5...7 (while Health is below 50%)
'I am Sorrow.'					7e^hex				Energy +5...7 (while Hexed)
'Serenity Now'					ahsr^10				Halves skill recharge of spells (Chance: 7...10%)
'Forget Me Not'					hsr^20				Halves skill recharge of spells of item's attribute (Chance: 15...20%)
'Live for Today'				15e^-1e/s			Energy +10...15 Energy regeneration -1
'Faith is My Shield'			5a^ench				Armor +4...5 (while Enchanted)
'Ignorance is Bliss'			5a^-5e				Armor +4...5 Energy -5
'Life is Pain'					5a^-20h				Armor +4...5 Health -20
'Man for All Seasons'			5a^elem				Armor +4...5 (vs. Elemental damage)
'Survival of the Fittest'		5a^phys				Armor +4...5 (vs. Physical damage)
'Might Makes Right'				5a^attack			Armor +4...5 (while attacking)
'Knowing is Half the Battle'	5a^cast				Armor +5 (while casting)
'Down But Not Out'				10a^<50				Armor +5...10 (while Health is below 50%)
'Hail to the King'				5a^50				Armor +4...5 (while Health is above 50%)
'Be Just and Fear Not'			10a^hex				Armor +5...10 (while hexed)
'Luck of the Draw'				-5^20				Received physical damage -5 (Chance: 11...20%)
'Sheltered by Faith'			-2^ench				Received physical damage -1...2 (while Enchanted)
'Nothing to Fear'				-3^hex				Received physical damage -1...3 (while Hexed)
'Run For Your Life!'			-2^stance			Received physical damage -1...2 (while in a Stance)
'Master of My Domain!'			1^20				Item's attribute +1 (Chance: 11...20%)
'Not the Face!'					10a^blunt			Armor +5...10 (vs. Blunt damage)
'Leaf on the Wind'				10a^cold			Armor +5...10 (vs. Cold damage)
'Like a Rolling Stone'			10a^earth			Armor +5...10 (vs. Earth damage)
'Riders on the Storm'			10a^lightning		Armor +5...10 (vs. Lightning damage)
'Sleep Now in the Fire'			10a^fire			Armor +5...10 (vs. Fire damage)
'Through Thick and Thin'		10a^piercing		Armor +5...10 (vs. Piercing damage)
'The Riddle of Steel'			10a^slashing		Armor +5...10 (vs. Slashing damage)
'Fear Cuts Deeper'				-20%bleed			Reduces Bleeding duration on you by 20% (Stacking)
'I Can See Clearly Now'			-20%blind			Reduces Blind duration on you by 20% (Stacking)
'Swift as the Wind'				-20%cripple			Reduces Crippled duration on you by 20% (Stacking)
'Strength of Body'				-20%deepwound		Reduces Deep Wound duration on you by 20% (Stacking)
